year,reference_date,mc,mc_code,count,count_kind,source_slug,kind,notes
2022,2022-12-31,Praha 7,547141,516,live_births,csu-casova-rada-mc-2004-2025,historical,ČSÚ KOD_ZUJ=500186; sheet '2022'; row 'Živě narození / Live births'
2022,2022-12-31,Praha 8,547158,1063,live_births,csu-casova-rada-mc-2004-2025,historical,ČSÚ KOD_ZUJ=500208; sheet '2022'; row 'Živě narození / Live births'
2022,2022-12-31,Praha 9,547166,753,live_births,csu-casova-rada-mc-2004-2025,historical,ČSÚ KOD_ZUJ=500216; sheet '2022'; row 'Živě narození / Live births'
2022,2022-12-31,Praha 10,547174,1187,live_births,csu-casova-rada-mc-2004-2025,historical,ČSÚ KOD_ZUJ=500224; sheet '2022'; row 'Živě narození / Live births'
2022,2022-12-31,Praha 14,547221,501,live_births,csu-casova-rada-mc-2004-2025,historical,ČSÚ KOD_ZUJ=547361; sheet '2022'; row 'Živě narození / Live births'
2023,2023-12-31,Praha 3,547107,745,live_births,csu-casova-rada-mc-2004-2025,historical,ČSÚ KOD_ZUJ=500097; sheet '2023'; row 'Živě narození / Live births'
2023,2023-12-31,Praha 7,547141,489,live_births,csu-casova-rada-mc-2004-2025,historical,ČSÚ KOD_ZUJ=500186; sheet '2023'; row 'Živě narození / Live births'
2023,2023-12-31,Praha 8,547158,967,live_births,csu-casova-rada-mc-2004-2025,historical,ČSÚ KOD_ZUJ=500208; sheet '2023'; row 'Živě narození / Live births'
2023,2023-12-31,Praha 9,547166,756,live_births,csu-casova-rada-mc-2004-2025,historical,ČSÚ KOD_ZUJ=500216; sheet '2023'; row 'Živě narození / Live births'
2023,2023-12-31,Praha 10,547174,1126,live_births,csu-casova-rada-mc-2004-2025,historical,ČSÚ KOD_ZUJ=500224; sheet '2023'; row 'Živě narození / Live births'
2023,2023-12-31,Praha 14,547221,452,live_births,csu-casova-rada-mc-2004-2025,historical,ČSÚ KOD_ZUJ=547361; sheet '2023'; row 'Živě narození / Live births'
2024,2024-12-31,Praha 3,547107,826,live_births,csu-casova-rada-mc-2004-2025,historical,ČSÚ KOD_ZUJ=500097; sheet '2024'; row 'Živě narození / Live births'
2024,2024-12-31,Praha 7,547141,471,live_births,csu-casova-rada-mc-2004-2025,historical,ČSÚ KOD_ZUJ=500186; sheet '2024'; row 'Živě narození / Live births'
2024,2024-12-31,Praha 8,547158,896,live_births,csu-casova-rada-mc-2004-2025,historical,ČSÚ KOD_ZUJ=500208; sheet '2024'; row 'Živě narození / Live births'
2024,2024-12-31,Praha 9,547166,684,live_births,csu-casova-rada-mc-2004-2025,historical,ČSÚ KOD_ZUJ=500216; sheet '2024'; row 'Živě narození / Live births'
2024,2024-12-31,Praha 10,547174,1050,live_births,csu-casova-rada-mc-2004-2025,historical,ČSÚ KOD_ZUJ=500224; sheet '2024'; row 'Živě narození / Live births'
2024,2024-12-31,Praha 14,547221,414,live_births,csu-casova-rada-mc-2004-2025,historical,ČSÚ KOD_ZUJ=547361; sheet '2024'; row 'Živě narození / Live births'
2025,2025-12-31,Praha 3,547107,694,live_births,csu-casova-rada-mc-2004-2025,historical,ČSÚ KOD_ZUJ=500097; sheet '2025'; row 'Živě narození / Live births'
2025,2025-12-31,Praha 7,547141,412,live_births,csu-casova-rada-mc-2004-2025,historical,ČSÚ KOD_ZUJ=500186; sheet '2025'; row 'Živě narození / Live births'
2025,2025-12-31,Praha 8,547158,887,live_births,csu-casova-rada-mc-2004-2025,historical,ČSÚ KOD_ZUJ=500208; sheet '2025'; row 'Živě narození / Live births'
2025,2025-12-31,Praha 9,547166,726,live_births,csu-casova-rada-mc-2004-2025,historical,ČSÚ KOD_ZUJ=500216; sheet '2025'; row 'Živě narození / Live births'
2025,2025-12-31,Praha 10,547174,976,live_births,csu-casova-rada-mc-2004-2025,historical,ČSÚ KOD_ZUJ=500224; sheet '2025'; row 'Živě narození / Live births'
2025,2025-12-31,Praha 14,547221,386,live_births,csu-casova-rada-mc-2004-2025,historical,ČSÚ KOD_ZUJ=547361; sheet '2025'; row 'Živě narození / Live births'
