year,reference_date,mc,mc_code,age,age_band_min,age_band_max,count,count_kind,coverage_pct,source_slug,kind,notes
2013,2013-12-31,Praha 9,547166,,15,19,1813,population,,csu-vekove-slozeni-mc-2011-2025,historical,ČSÚ KOD_ZUJ=500216; sheet '2013'; 5-year band (single-year-of-age not available in this dataset); row 'Praha N' / col '15-19'
2013,2013-12-31,Praha 10,547174,,0,4,5665,population,,csu-vekove-slozeni-mc-2011-2025,historical,ČSÚ KOD_ZUJ=500224; sheet '2013'; 5-year band (single-year-of-age not available in this dataset); row 'Praha N' / col '0-4'
2013,2013-12-31,Praha 10,547174,,5,9,4539,population,,csu-vekove-slozeni-mc-2011-2025,historical,ČSÚ KOD_ZUJ=500224; sheet '2013'; 5-year band (single-year-of-age not available in this dataset); row 'Praha N' / col '5-9'
2013,2013-12-31,Praha 10,547174,,10,14,3361,population,,csu-vekove-slozeni-mc-2011-2025,historical,ČSÚ KOD_ZUJ=500224; sheet '2013'; 5-year band (single-year-of-age not available in this dataset); row 'Praha N' / col '10-14'
2013,2013-12-31,Praha 10,547174,,15,19,3524,population,,csu-vekove-slozeni-mc-2011-2025,historical,ČSÚ KOD_ZUJ=500224; sheet '2013'; 5-year band (single-year-of-age not available in this dataset); row 'Praha N' / col '15-19'
2013,2013-12-31,Praha 14,547221,,0,4,2523,population,,csu-vekove-slozeni-mc-2011-2025,historical,ČSÚ KOD_ZUJ=547361; sheet '2013'; 5-year band (single-year-of-age not available in this dataset); row 'Praha N' / col '0-4'
2013,2013-12-31,Praha 14,547221,,5,9,2292,population,,csu-vekove-slozeni-mc-2011-2025,historical,ČSÚ KOD_ZUJ=547361; sheet '2013'; 5-year band (single-year-of-age not available in this dataset); row 'Praha N' / col '5-9'
2013,2013-12-31,Praha 14,547221,,10,14,2063,population,,csu-vekove-slozeni-mc-2011-2025,historical,ČSÚ KOD_ZUJ=547361; sheet '2013'; 5-year band (single-year-of-age not available in this dataset); row 'Praha N' / col '10-14'
2013,2013-12-31,Praha 14,547221,,15,19,2372,population,,csu-vekove-slozeni-mc-2011-2025,historical,ČSÚ KOD_ZUJ=547361; sheet '2013'; 5-year band (single-year-of-age not available in this dataset); row 'Praha N' / col '15-19'
2014,2014-12-31,Praha 3,547107,,0,4,3802,population,,csu-vekove-slozeni-mc-2011-2025,historical,ČSÚ KOD_ZUJ=500097; sheet '2014'; 5-year band (single-year-of-age not available in this dataset); row 'Praha N' / col '0-4'
2014,2014-12-31,Praha 3,547107,,5,9,2884,population,,csu-vekove-slozeni-mc-2011-2025,historical,ČSÚ KOD_ZUJ=500097; sheet '2014'; 5-year band (single-year-of-age not available in this dataset); row 'Praha N' / col '5-9'
2014,2014-12-31,Praha 3,547107,,10,14,2120,population,,csu-vekove-slozeni-mc-2011-2025,historical,ČSÚ KOD_ZUJ=500097; sheet '2014'; 5-year band (single-year-of-age not available in this dataset); row 'Praha N' / col '10-14'
2014,2014-12-31,Praha 3,547107,,15,19,2358,population,,csu-vekove-slozeni-mc-2011-2025,historical,ČSÚ KOD_ZUJ=500097; sheet '2014'; 5-year band (single-year-of-age not available in this dataset); row 'Praha N' / col '15-19'
2014,2014-12-31,Praha 7,547141,,0,4,2625,population,,csu-vekove-slozeni-mc-2011-2025,historical,ČSÚ KOD_ZUJ=500186; sheet '2014'; 5-year band (single-year-of-age not available in this dataset); row 'Praha N' / col '0-4'
2014,2014-12-31,Praha 7,547141,,5,9,2030,population,,csu-vekove-slozeni-mc-2011-2025,historical,ČSÚ KOD_ZUJ=500186; sheet '2014'; 5-year band (single-year-of-age not available in this dataset); row 'Praha N' / col '5-9'
2014,2014-12-31,Praha 7,547141,,10,14,1309,population,,csu-vekove-slozeni-mc-2011-2025,historical,ČSÚ KOD_ZUJ=500186; sheet '2014'; 5-year band (single-year-of-age not available in this dataset); row 'Praha N' / col '10-14'
2014,2014-12-31,Praha 7,547141,,15,19,1330,population,,csu-vekove-slozeni-mc-2011-2025,historical,ČSÚ KOD_ZUJ=500186; sheet '2014'; 5-year band (single-year-of-age not available in this dataset); row 'Praha N' / col '15-19'
2014,2014-12-31,Praha 8,547158,,0,4,5698,population,,csu-vekove-slozeni-mc-2011-2025,historical,ČSÚ KOD_ZUJ=500208; sheet '2014'; 5-year band (single-year-of-age not available in this dataset); row 'Praha N' / col '0-4'
2014,2014-12-31,Praha 8,547158,,5,9,5563,population,,csu-vekove-slozeni-mc-2011-2025,historical,ČSÚ KOD_ZUJ=500208; sheet '2014'; 5-year band (single-year-of-age not available in this dataset); row 'Praha N' / col '5-9'
2014,2014-12-31,Praha 8,547158,,10,14,3644,population,,csu-vekove-slozeni-mc-2011-2025,historical,ČSÚ KOD_ZUJ=500208; sheet '2014'; 5-year band (single-year-of-age not available in this dataset); row 'Praha N' / col '10-14'
