mc,name,redizo,izo_zs,address,zrizovatel,type,kapacita_registered,snapshot_date,source_url,notes
Praha 8,"Základní škola německo-českého porozumění Thomase Manna, o.p.s.",610380109,110380118,"Střížkovská 32/27, Střížkov, 180 00 Praha",,private,329,2025-10-31,https://lkod-ftp.msmt.gov.cz/00022985/e9c07729-877e-4af0-be4a-9d36e45806ae/rssz-cela-cr-2025-10-31.jsonld,
Praha 8,"Základní škola při Psychiatrické nemocnici Bohnice, Praha 8, Ústavní 91",600021262,110000803,"Ústavní 91/7, Bohnice, 181 00 Praha",Hlavní město Praha,state,114,2025-10-31,https://lkod-ftp.msmt.gov.cz/00022985/e9c07729-877e-4af0-be4a-9d36e45806ae/rssz-cela-cr-2025-10-31.jsonld,
Praha 8,"Základní škola, Praha 8, Burešova 14",600039749,102261202,"Burešova 1130/14, Kobylisy, 182 00 Praha",Městská část Praha 8,state,1000,2025-10-31,https://lkod-ftp.msmt.gov.cz/00022985/e9c07729-877e-4af0-be4a-9d36e45806ae/rssz-cela-cr-2025-10-31.jsonld,
Praha 8,"Základní škola, Praha 8, Glowackého 6",600039765,102261423,"Glowackého 555/6, Troja, 181 00 Praha",Městská část Praha 8,state,800,2025-10-31,https://lkod-ftp.msmt.gov.cz/00022985/e9c07729-877e-4af0-be4a-9d36e45806ae/rssz-cela-cr-2025-10-31.jsonld,
Praha 8,"Základní škola, Praha 8, Hovorčovická 11",600039919,102261326,"Hovorčovická 1281/11, Kobylisy, 182 00 Praha",Městská část Praha 8,state,750,2025-10-31,https://lkod-ftp.msmt.gov.cz/00022985/e9c07729-877e-4af0-be4a-9d36e45806ae/rssz-cela-cr-2025-10-31.jsonld,
Praha 8,"Základní škola, Praha 8, Libčická 10",600039790,102261415,"Libčická 658/10, Čimice, 181 00 Praha",Městská část Praha 8,state,460,2025-10-31,https://lkod-ftp.msmt.gov.cz/00022985/e9c07729-877e-4af0-be4a-9d36e45806ae/rssz-cela-cr-2025-10-31.jsonld,
Praha 8,"Základní škola, Praha 8, Na Šutce 28",600039811,102261253,"Na Šutce 440/28, Troja, 182 00 Praha",Městská část Praha 8,state,550,2025-10-31,https://lkod-ftp.msmt.gov.cz/00022985/e9c07729-877e-4af0-be4a-9d36e45806ae/rssz-cela-cr-2025-10-31.jsonld,
Praha 8,"Základní škola, Praha 8, Palmovka 8",600039820,102261172,"Palmovka 468/8, Libeň, 180 00 Praha",Městská část Praha 8,state,500,2025-10-31,https://lkod-ftp.msmt.gov.cz/00022985/e9c07729-877e-4af0-be4a-9d36e45806ae/rssz-cela-cr-2025-10-31.jsonld,
Praha 8,"Základní škola, Praha 8, Žernosecká 3",600039901,102261245,"Žernosecká 1597/3, Kobylisy, 182 00 Praha",Městská část Praha 8,state,730,2025-10-31,https://lkod-ftp.msmt.gov.cz/00022985/e9c07729-877e-4af0-be4a-9d36e45806ae/rssz-cela-cr-2025-10-31.jsonld,
Praha 9,Métis - základní škola s.r.o.,691004862,181043947,"Pod Balkánem 599/2, Vysočany, 190 00 Praha",,private,162,2025-10-31,https://lkod-ftp.msmt.gov.cz/00022985/e9c07729-877e-4af0-be4a-9d36e45806ae/rssz-cela-cr-2025-10-31.jsonld,
